Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap ($)
1394,CBR,Carbon Revolution Ltd,$0.135,0.00%,0.00%,-15.63%,-64.47%,Consumer Discretionary,28.76M
1395,WA8,Warriedar Resources Ltd,$0.059,-4.84%,+1.72%,-13.24%,-60.67%,Materials,28.73M
1396,KME,Kip Mcgrath Education Centres Ltd,$0.505,0.00%,-4.72%,-17.89%,-36.88%,Consumer Discretionary,28.71M
1397,CD1,CD Private Equity Fund I,$0.785,-0.63%,-0.63%,-4.27%,-12.78%,Financials,28.69M
1398,NML,Navarre Minerals Ltd,$0.019,0.00%,0.00%,0.00%,-55.81%,Materials,28.56M
1399,VRC,Volt Resources Ltd,$0.007,0.00%,-6.67%,-12.50%,-66.67%,Materials,28.51M
1400,MRC,Mineral Commodities Ltd,$0.033,+3.13%,-7.82%,+11.73%,-50.17%,Materials,28.39M
1401,OKR,Okapi Resources Ltd,$0.135,0.00%,0.00%,-12.90%,-34.15%,Materials,28.36M
1402,RSH,Respiri Ltd,$0.028,+12.00%,-15.15%,-30.00%,-24.32%,Health Care,28.33M
1403,GFL,Global Masters Fund Ltd,$2.64,0.00%,-1.12%,-8.97%,+12.34%,Financials,28.31M
1404,TCG,Turaco Gold Ltd,$0.056,+3.70%,+12.00%,+16.67%,+40.00%,Materials,28.15M
1405,EV1,Evolution Energy Minerals Ltd,$0.16,0.00%,-11.11%,-3.03%,-36.00%,Materials,28.06M
1406,EMD,Emyria Ltd,$0.078,+11.43%,+9.86%,+4.00%,-60.71%,Health Care,28.04M
1407,PV1,Provaris Energy Ltd,$0.051,+2.00%,-5.56%,-19.05%,-19.05%,Energy,28.04M
1408,CCG,Comms Group Ltd,$0.073,+4.29%,+1.39%,-7.60%,0.00%,Communication Services,28M
1409,MGL,Magontec Ltd,$0.355,0.00%,-22.40%,-21.11%,+1.43%,Materials,27.87M
1410,WIA,WIA Gold Ltd,$0.03,-11.77%,-6.25%,-21.05%,-42.02%,Materials,27.62M
1411,IME,Imexhs Ltd,$0.65,-2.26%,-7.14%,+8.33%,+35.42%,Health Care,27.62M
1412,GHY,Gold Hydrogen Ltd,$0.485,+3.19%,+90.20%,+120.46%,-3.00%,Energy,27.61M
1413,HGBL,LBetashares Global Shares ETF - Currency Hedged,$51.53,+1.50%,+3.62%,-0.19%,+2.10%,N/A,27.57M
1414,AUQ,Alara Resources Ltd,$0.038,-5.00%,+15.15%,+5.56%,+5.56%,Materials,27.29M
1415,SNS,Sensen Networks Ltd,$0.04,0.00%,+2.56%,-14.47%,-36.19%,Information Technology,27.27M
1416,JXT,Jaxsta Ltd,$0.053,+3.92%,0.00%,-5.36%,+76.67%,Information Technology,27.2M
1417,HAL,Halo Technologies Holdings Ltd,$0.21,+5.00%,+50.00%,+296.23%,-16.00%,Financials,27.19M
1418,FEG,Far East Gold Ltd,$0.15,0.00%,-6.25%,-6.25%,-75.00%,Materials,27.09M
1419,AMX,Aerometrex Ltd,$0.285,-1.72%,+7.55%,-10.94%,-35.23%,Industrials,27.02M
1420,FL1,First Lithium Ltd,$0.385,-1.28%,+48.08%,+54.00%,+113.89%,Materials,26.97M
1421,PHX,Pharmx Technologies Ltd,$0.045,0.00%,0.00%,+4.65%,+50.00%,Information Technology,26.93M
1422,IISV,VIntell Invest Select Value SHR Fund (Managed Fund),$2.65,+1.53%,+2.32%,-1.12%,+5.58%,Financials,26.93M
1423,FND,Findi Ltd,$0.73,+4.29%,+41.75%,+65.91%,+35.19%,Information Technology,26.91M
1424,ASP,Aspermont Ltd,$0.011,+22.22%,+37.50%,0.00%,-45.00%,Communication Services,26.83M
1425,SES,Secos Group Ltd,$0.045,-4.26%,+2.27%,-12.62%,-64.00%,Materials,26.71M
1426,MIO,Macarthur Minerals Ltd,$0.16,0.00%,-3.03%,-8.57%,+23.08%,Materials,26.57M
1427,FAL,Falcon Metals Ltd,$0.15,0.00%,+11.11%,0.00%,-16.67%,Materials,26.55M
1428,PIL,Peppermint Innovation Ltd,$0.013,0.00%,0.00%,+18.18%,+30.00%,Information Technology,26.49M
1429,ECG,Ecargo Holdings Ltd,$0.043,+10.26%,+10.26%,+7.50%,+152.94%,Industrials,26.46M
1430,KRR,King River Resources Ltd,$0.017,-5.56%,+6.25%,+70.00%,+30.77%,Materials,26.41M
1431,MTC,Metalstech Ltd,$0.14,-12.50%,-3.45%,-37.78%,-62.67%,Materials,26.4M
1432,TLM,Talisman Mining Ltd,$0.14,-6.67%,-3.45%,+3.70%,+7.69%,Materials,26.36M
1433,IDT,IDT Australia Ltd,$0.075,+2.74%,+31.58%,+29.31%,-25.00%,Health Care,26.36M
1434,DKM,Duketon Mining Ltd,$0.215,0.00%,0.00%,-29.51%,-31.75%,Materials,26.25M
1435,AQLT,TBetashares Australian Quality ETF,$23.80,+0.72%,+2.23%,-2.22%,+3.48%,Financials,26.23M
1436,RHT,Resonance Health Ltd,$0.056,0.00%,-5.09%,-29.11%,-23.29%,Health Care,26.15M
1437,AMS,Atomos Ltd,$0.065,0.00%,0.00%,0.00%,-35.00%,Consumer Discretionary,26.12M
1438,MMM,Marley Spoon Se,$0.066,+4.76%,-5.71%,-8.33%,-68.57%,Consumer Staples,25.96M
1439,MIL,Millennium Services Group Ltd,$0.55,+1.85%,+5.77%,+5.77%,0.00%,Industrials,25.94M
1440,KAU,Kaiser Reef Ltd,$0.175,+2.94%,+2.94%,0.00%,+6.06%,Materials,25.88M
1441,PAA,Pharmaust Ltd,$0.074,0.00%,+4.23%,-7.50%,-2.63%,Health Care,25.81M
1442,KNI,Kuniko Ltd,$0.30,+11.11%,+15.39%,-3.23%,-54.02%,Materials,25.77M
1443,UBN,Urbanise.com Ltd,$0.40,-6.98%,-6.98%,-5.88%,-46.31%,Information Technology,25.67M
1444,DCG,Decmil Group Ltd,$0.165,0.00%,+3.13%,-2.94%,+3.13%,Industrials,25.67M
1445,STN,Saturn Metals Ltd,$0.135,-3.57%,+3.85%,-10.00%,-44.50%,Materials,25.66M
1446,CDO,Cadence Opportunities Fund Ltd,$1.63,0.00%,-4.68%,-1.81%,-32.08%,Financials,25.59M
1447,INCM,MBetashares Global Income Leaders ETF,$15.00,+2.11%,+0.87%,-1.19%,-2.79%,Financials,25.54M
1448,ECS,ECS Botanics Holdings Ltd,$0.023,0.00%,0.00%,+4.55%,-4.17%,Health Care,25.45M
1449,QXR,QX Resources Ltd,$0.023,0.00%,0.00%,-4.17%,-73.26%,Materials,25.43M
1450,TKM,Trek Metals Ltd,$0.051,0.00%,+2.00%,-8.93%,-20.31%,Materials,25.38M
1451,ATS,Australis Oil & Gas Ltd,$0.02,0.00%,-20.00%,-25.93%,-41.18%,Energy,25.34M
1452,AUST,TBetashares Managed Risk AUS SH Fund (Managed Fund),$15.44,0.00%,+1.11%,-0.96%,-4.10%,Financials,25.33M
1453,NET,Netlinkz Ltd,$0.007,-12.50%,+16.67%,-12.50%,-72.00%,Information Technology,25.32M
1454,SVY,Stavely Minerals Ltd,$0.067,-1.47%,-8.22%,-10.67%,-53.79%,Materials,25.29M
1455,BRX,Belararox Ltd,$0.485,+7.78%,+7.78%,-19.17%,+61.67%,Materials,25.19M
1456,TAL,Talius Group Ltd,$0.011,0.00%,+10.00%,0.00%,+4.76%,Information Technology,25.15M
1457,ANL,Amani Gold Ltd,$0.001,0.00%,0.00%,0.00%,0.00%,Materials,25.14M
1458,HCF,H&G High Conviction Ltd,$1.00,+3.09%,+1.01%,+5.26%,+1.01%,Financials,25.06M
1459,PAM,Pan Asia Metals Ltd,$0.15,-6.25%,-9.09%,-25.00%,-60.53%,Materials,25.05M
1460,BAS,Bass Oil Ltd,$0.093,0.00%,-3.13%,-11.43%,+165.71%,Energy,24.96M
